id,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
35956,21.0,3.0,1.0,3.0,71.0,355.0,0.1,10.5,34.29,3850.0,0.12,213.89,17,0,2,0,14.0,18.0,43.0,28.0,5.0,False
60927,29.0,4.0,1.0,2.0,67.0,315.78,0.08,12.79,27.54,4162.24,0.11,231.24,17,4,4,2,15.0,17.0,42.0,29.0,7.0,True
79918,42.0,11.0,9.0,5.0,165.0,872.8,0.05,21.72,49.79,26903.76,0.29,1494.65,33,1,4,0,17.0,29.0,96.0,69.0,21.0,False
50078,8.0,1.0,1.0,1.0,7.0,19.65,0.33,3.0,6.55,58.95,0.01,3.28,3,0,2,0,6.0,1.0,6.0,1.0,1.0,False
44080,5.0,1.0,1.0,1.0,14.0,46.51,0.33,3.0,15.5,139.52,0.01,7.75,3,0,0,0,5.0,5.0,8.0,6.0,1.0,False
4727,107.0,10.0,9.0,10.0,244.0,1448.6,0.05,20.86,68.48,30353.11,0.48,1686.28,65,13,16,10,17.0,42.0,148.0,96.0,19.0,True
29944,7.0,1.0,1.0,1.0,17.0,60.94,0.25,4.0,17.41,213.31,0.02,11.85,5,0,0,0,6.0,6.0,10.0,7.0,1.0,False
95105,9.0,2.0,1.0,2.0,26.0,96.21,0.19,5.14,19.46,555.43,0.03,30.86,6,0,1,0,8.0,7.0,13.0,9.0,3.0,False
59479,34.0,4.0,1.0,3.0,143.0,787.52,0.04,22.0,32.87,13437.64,0.26,746.54,25,1,8,0,22.0,26.0,88.0,55.0,7.0,False
56742,10.0,4.0,1.0,4.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3.0,1.0,3.0,1.0,7.0,True
42153,13.0,2.0,1.0,1.0,28.0,118.94,0.12,8.64,13.99,1045.16,0.04,58.06,10,0,1,0,12.0,7.0,18.0,11.0,3.0,False
57809,13.0,2.0,1.0,2.0,38.0,148.0,0.21,4.67,31.45,799.2,0.06,44.4,11,0,1,0,6.0,12.0,22.0,16.0,3.0,False
4656,17.0,3.0,1.0,1.0,39.0,176.42,0.12,8.25,21.38,1455.46,0.06,80.86,14,0,1,0,13.0,12.0,21.0,18.0,5.0,False
35347,8.0,2.0,1.0,1.0,27.0,102.8,0.12,8.33,11.31,866.67,0.03,48.15,5,0,1,0,10.0,6.0,17.0,10.0,3.0,False
51010,32.0,6.0,1.0,3.0,121.0,640.3,0.04,27.2,23.2,17672.26,0.21,981.79,26,0,4,0,23.0,20.0,73.0,48.0,11.0,False
26665,15.0,2.0,1.0,2.0,41.0,185.47,0.13,7.69,24.11,1426.66,0.06,79.26,10,0,2,0,10.0,13.0,21.0,20.0,3.0,False
58435,65.0,7.0,5.0,4.0,98.0,494.35,0.1,10.5,44.35,5002.6,0.16,277.92,41,13,8,0,10.0,20.0,58.0,40.0,13.0,False
50950,10.0,1.0,1.0,1.0,32.0,143.06,0.19,5.32,28.36,800.12,0.05,44.45,5,0,2,0,8.0,11.0,19.0,13.0,1.0,False
46472,112.0,13.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,25.0,True
48011,5.0,1.0,1.0,1.0,17.0,60.94,0.29,3.5,17.41,213.31,0.02,11.85,3,0,0,0,6.0,8.0,9.0,8.0,1.0,False
39345,25.0,5.0,1.0,3.0,78.0,357.78,0.05,20.0,18.92,6186.03,0.12,343.67,21,0,2,0,13.0,9.0,46.0,32.0,9.0,False
39301,63.0,8.0,8.0,5.0,156.0,866.52,0.06,17.03,50.87,14758.72,0.29,819.93,45,3,9,0,16.0,31.0,90.0,66.0,15.0,False
2450,13.0,3.0,3.0,2.0,32.0,142.7,0.1,10.0,13.59,1458.65,0.05,81.04,9,0,1,0,12.0,7.0,21.0,14.0,5.0,False
97156,18.0,2.0,1.0,2.0,29.0,123.19,0.2,5.09,21.06,627.15,0.04,34.84,9,0,5,0,10.0,11.0,16.0,13.0,3.0,False
48952,10.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,False
30890,34.0,3.0,1.0,3.0,558.0,3442.97,0.03,28.55,112.63,124230.38,1.15,6868.69,29,0,3,0,17.0,10.0,302.0,31.0,5.0,False
27805,16.0,3.0,1.0,3.0,29.0,116.0,0.16,6.25,17.84,786.47,0.04,43.69,10,1,2,0,10.0,8.0,19.0,10.0,5.0,False
34696,23.0,2.0,1.0,1.0,52.0,241.48,0.09,10.95,23.91,2656.99,0.08,147.61,19,0,2,0,11.0,13.0,25.0,27.0,3.0,True
4162,100.0,24.0,20.0,17.0,396.0,2429.08,0.03,31.91,64.75,84426.99,0.81,4690.39,90,0,6,0,19.0,47.0,270.0,138.0,47.0,True
4469,155.0,13.0,1.0,12.0,558.0,3629.61,0.02,48.81,69.09,146033.38,1.21,8112.97,97,13,19,1,23.0,47.0,326.0,240.0,25.0,False
99710,33.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,19.0,False
76402,21.0,6.0,1.0,2.0,68.0,288.86,0.06,16.0,18.48,4872.54,0.1,270.7,13,0,3,0,12.0,11.0,42.0,26.0,11.0,False
8325,9.0,2.0,1.0,1.0,35.0,155.59,0.11,9.33,16.14,1478.1,0.05,82.12,6,0,1,0,10.0,9.0,19.0,16.0,3.0,False
43857,8.0,3.0,3.0,2.0,42.0,187.3,0.11,9.1,19.83,1710.01,0.06,95.0,5,0,1,0,13.0,10.0,25.0,14.0,5.0,False
5154,8.0,2.0,1.0,2.0,24.0,94.01,0.16,6.42,14.65,603.24,0.03,33.51,5,0,1,0,11.0,6.0,15.0,7.0,3.0,False
87598,16.0,2.0,1.0,2.0,39.0,171.3,0.11,9.39,18.01,1817.18,0.06,100.95,10,2,2,0,13.0,9.0,26.0,13.0,3.0,False
54072,19.0,4.0,1.0,2.0,35.0,151.27,0.16,6.22,21.34,806.76,0.05,44.82,16,0,1,0,8.0,9.0,19.0,14.0,7.0,False
100710,30.0,2.0,1.0,2.0,56.0,260.06,0.08,12.09,21.51,3144.31,0.09,174.68,22,0,6,0,14.0,11.0,40.0,16.0,3.0,False
15242,16.0,3.0,1.0,3.0,59.0,280.54,0.16,6.03,48.25,1618.83,0.09,89.94,14,0,0,0,9.0,19.0,31.0,28.0,5.0,False
23608,69.0,10.0,7.0,1.0,211.0,1115.22,0.02,45.71,21.4,62950.34,0.37,3463.09,50,5,7,0,20.0,14.0,148.0,63.0,19.0,False
39930,14.0,2.0,1.0,1.0,27.0,116.69,0.15,6.67,17.56,643.78,0.04,35.77,10,0,2,0,10.0,9.0,16.0,15.0,3.0,False
18629,40.0,3.0,1.0,3.0,117.0,624.5,0.05,18.64,29.02,10888.66,0.21,604.94,24,6,4,0,17.0,18.0,68.0,45.0,5.0,False
57524,5.0,1.0,1.0,1.0,13.0,43.19,0.5,2.0,21.59,129.56,0.01,7.2,3,0,0,0,4.0,8.0,9.0,8.0,1.0,False
5766,11.0,2.0,1.0,2.0,17.0,60.94,0.17,6.0,10.16,365.67,0.02,20.31,7,0,2,0,8.0,4.0,11.0,6.0,3.0,False
29609,12.0,2.0,1.0,2.0,37.0,165.0,0.13,7.5,23.29,1168.74,0.05,64.93,8,0,2,0,10.0,10.0,22.0,15.0,3.0,False
93767,7.0,1.0,1.0,1.0,10.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,4,0,1,0,5.0,4.0,6.0,4.0,1.0,False
5884,50.0,15.0,1.0,3.0,132.0,712.54,0.02,44.0,16.32,57855.62,0.24,3214.2,37,4,6,0,17.0,13.0,80.0,58.0,29.0,True
65853,33.0,3.0,1.0,3.0,119.0,686.04,0.06,17.04,39.98,11923.17,0.23,662.4,28,0,7,0,11.0,18.0,79.0,40.0,5.0,False
86504,4.0,1.0,1.0,1.0,12.0,39.86,0.25,4.0,10.75,186.03,0.01,10.33,2,0,0,0,8.0,3.0,8.0,4.0,1.0,False
41652,12.0,2.0,1.0,2.0,26.0,96.21,0.14,7.5,12.37,671.14,0.03,37.84,9,0,0,0,9.0,4.0,19.0,5.0,3.0,False
36505,55.0,5.0,1.0,5.0,155.0,862.21,0.06,15.83,54.48,13740.44,0.29,763.74,46,2,5,0,14.0,30.0,87.0,68.0,9.0,False
42641,30.0,4.0,1.0,4.0,67.0,318.58,0.07,13.14,24.27,4191.89,0.11,232.88,24,0,7,0,16.0,13.0,42.0,23.0,7.0,False
62562,29.0,7.0,6.0,3.0,130.0,661.75,0.03,29.08,22.75,19230.61,0.22,1068.37,22,0,5,0,21.0,13.0,94.0,36.0,13.0,False
40380,9.0,2.0,1.0,2.0,20.0,80.0,0.18,5.6,13.71,460.0,0.03,25.56,7,0,0,0,7.0,5.0,12.0,8.0,3.0,False
