,count,mean,std,min,25%,50%,75%,max,missing_count,missing_percent,dtype
Unnamed: 0,98904.0,52003.36346356062,30001.153118193706,0.0,25987.75,52026.5,78020.25,103903.0,0,0.0,int64
id,98904.0,64980.800523740196,37454.39819373254,1.0,32590.75,64970.5,97428.25,129880.0,0,0.0,int64
Age,98904.0,39.3718049826094,15.114978016583137,7.0,27.0,40.0,51.0,85.0,0,0.0,int64
Flight Distance,98904.0,1189.6463237078378,997.1544832523706,31.0,414.0,842.0,1744.0,4983.0,0,0.0,int64
Inflight wifi service,98904.0,2.7307186766965947,1.327122169716826,0.0,2.0,3.0,4.0,5.0,0,0.0,int64
Departure/Arrival time convenient,98904.0,3.0613726441802154,1.5243308044454835,0.0,2.0,3.0,4.0,5.0,0,0.0,int64
Ease of Online booking,98904.0,2.7584425301302273,1.3983671114258789,0.0,2.0,3.0,4.0,5.0,0,0.0,int64
Gate location,98904.0,2.9776550998948474,1.276954977058729,0.0,2.0,3.0,4.0,5.0,0,0.0,int64
Food and drink,98904.0,3.2020747391409854,1.3290258690899417,0.0,2.0,3.0,4.0,5.0,0,0.0,int64
Online boarding,98904.0,3.25079875434765,1.3490005943456636,0.0,2.0,3.0,4.0,5.0,0,0.0,int64
Seat comfort,98904.0,3.4397294346032514,1.3187283991623548,0.0,2.0,4.0,5.0,5.0,0,0.0,int64
Inflight entertainment,98904.0,3.358226158699345,1.3324931989343645,0.0,2.0,4.0,4.0,5.0,0,0.0,int64
On-board service,98904.0,3.3832504246542103,1.2879425133726143,0.0,2.0,4.0,4.0,5.0,0,0.0,int64
Leg room service,98904.0,3.352159669983014,1.315648547722472,0.0,2.0,4.0,4.0,5.0,0,0.0,int64
Baggage handling,98904.0,3.6323910054193966,1.1806507535613837,1.0,3.0,4.0,5.0,5.0,0,0.0,int64
Checkin service,98904.0,3.3059128043355175,1.2646452649652589,0.0,3.0,3.0,4.0,5.0,0,0.0,int64
Inflight service,98904.0,3.641440184421257,1.1749717703475806,0.0,3.0,4.0,5.0,5.0,0,0.0,int64
Cleanliness,98904.0,3.2863180457817682,1.3117686305243093,0.0,2.0,3.0,4.0,5.0,0,0.0,int64
Departure Delay in Minutes,98904.0,14.821918223732103,38.29053902285333,0.0,0.0,0.0,12.0,1592.0,0,0.0,int64
Arrival Delay in Minutes,98605.0,15.180487804878048,38.75674416449198,0.0,0.0,0.0,13.0,1584.0,299,0.30231335436382756,float64
